name,par,href,summary,goals,prerequisites
evidence approximation,Bayesian Statistics,https://metacademy.org/graphs/concepts/evidence_approximation,"The evidence approximation is an approximation to Bayesian parameter estimation and model comparison. Rather than integrating out model hyperparameters, the hyperparameters chosen to maximize the marginal likelihood of the data.",Know what the evidence approximation is. Be aware of the heuristic justification: we're unlikely to overfit by maximizing over only a small number of hyperparameters,"Bayesian model comparison,optimization problems"
exceptions (programming),Programming,https://metacademy.org/graphs/concepts/exceptions_programming,"In many modern programming languages, a function can raise an exception to indicate that it's received an exceptional input and cannot continue processing. Execution then passes up the call stack until it reaches a function that ""catches"" it, i.e. provides code for handling it.","In a programming language such as Java or Python, understand what happens to the program execution when an exception is raised (and possibly caught). Be able to handle exceptions using a try/catch (or try/except) block. Know some situations where it is appropriate to raise an exception (including cases where it need not indicate a bug in the program). If the language supports it, know the difference between checked and unchecked exceptions and when it is appropriate to use which one. Know what the ""finally"" block does and what it's useful for. Be familiar with the language's exception hierarchy, and understand what it means for one exception to be a subtype of another",classes (programming)
expectation and variance,Probability Theory,https://metacademy.org/graphs/concepts/expectation_and_variance,"The expectation of a random variable is the value that it takes ""on average,"" and the variance is a measure of how much the random variable deviates from that value ""on average."" Expectation and variance have several convenient properties that often allow one to abstract away the underlying PDFs or PMFs.","Know the definitions of expectation and variance for both discrete and continuous random variables. Be able to compute expectations and variances. Be able to compute the expectation of a function of a random variable. Understand why the expectation of a random variable lies between its minimum and maximum possible values. Know that the expectation of a sum is the sum of the expectations, and be able to use this fact to compute expectations (this is a surprisingly useful trick!). Know that the expectation of a product of independent random variables is the product of the expectations. Prove both of these properties",random variables
expectation propagation,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/expectation_propagation,"In some graphical models, it is intractable even to compute the messages in loopy belief propagation. Expectation propagation is a way of approximating these messages in terms of expectations of sufficient statistics. It can be viewed as a variational inference algorithm, and often gives much more accurate results than mean field based approximations.",,"loopy belief propagation,variational inference,exponential families"
Expectation-Maximization algorithm,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/expectation_maximization,"Expectation-Maximization (EM) is an algorithm for maximum likelihood estimation in models with hidden variables (usually missing data or latent variables). It involves iteratively computing expectations of terms in the log-likelihood function under the current posterior, and then solving for the maximum likelihood parameters. Common applications include fitting mixture models, learning Bayes net parameters with latent data, and learning hidden Markov models.","Understand why the optimization landscape for maximum likelihood in a mixture model is difficult (i.e. it is nonconvex, and it has symmetries and saddle points). Derive the EM updates for a simple example such as a Gaussian mixture model. Know the general framework for EM. Show that each EM update improves the likelihood","maximum likelihood,mixture of Gaussians models,maximum likelihood: multivariate Gaussians"
expectimax search,"Reinforcement Learning,Symbolic AI",https://metacademy.org/graphs/concepts/expectimax_search,"Expectimax search is a search/decision-making algorithm that maximizes the average (expected) reward. It is typically applied to trees that have stochastic nodes, where the outcome of an action is uncertain.",,"probability,expectation and variance"
exploding and vanishing gradients,Uncategorized,https://metacademy.org/graphs/concepts/exploding_and_vanishing_gradients,"One of the problems of training recurrent or very deep feed-forward neural networks with backprop is that gradients can explode or vanish. This results from lots of Jacobian matrices being multiplied together. Alternatively, one can think about it as resulting from the complicated input/output behavior arising from the composition of lots of simpler functions.","Understand why gradients explode or vanish, both. in terms of the mechanics of backprop. in terms of the complexity of iterated functions. Understand why it's advantageous for each layer of a network to (be able to) compute something close to the identity function.. Know some techniques people use to get around the exploding/vanishing gradients problem.","backpropagation,recurrent neural networks"
exponential distribution,Probability Theory,https://metacademy.org/graphs/concepts/exponential_distribution,"The exponential distribution is a continuous distribution whose PDF decays exponentially. It is most commonly used to model the waiting time until an event occurs, where that event is equally likely to happen at any point in time.","Know the PDF of the exponential distribution. Know what it means for a distribution to be memoryless, and show that the exponential distribution has this property. Be aware of the motivation for this distribution in terms of waiting times","random variables,cumulative distribution function"
exponential families,"Frequentist Statistics,Probability Theory",https://metacademy.org/graphs/concepts/exponential_families,"Exponential families are a broad class of probability distributions which includes many basic distributions such as Bernoullis and Gaussians, as well as Markov random fields. What they have in common is that the distributions can be represented in terms of log-linear functions of sufficient statistics.","Know the basic definitions: exponential family, natural parameter, sufficient statistic. Derive the exponential family representations of some simple distributions, e.g.\nGaussian\nBernoulli. Give an example of a family of distributions which is not an exponential family.","expectation and variance,binomial distribution,Gaussian distribution"
exterior derivative,"Differential Geometry,Multivariate Calculus",https://metacademy.org/graphs/concepts/exterior_derivative,The exterior function is a generalization of the differential of a function to differential forms. It appears in the statement of Stokes's Theorem for manifolds.,"Define the exterior derivative of a function and of a differential form. Show that the exterior derivative is independent of the coordinate system. Show that d(dw) = 0 for any differential form w. Show that the exterior derivative is natural, i.e. commutes with pullback. Be able to manipulate exterior derivatives algebraically","cotangent bundle,differential forms,partial derivatives,tensor fields on manifolds"
F measure,Machine Learning,https://metacademy.org/graphs/concepts/f_measure,The F measure (F1 score or F score) is a measure of a test's accuracy and is defined as the weighted harmonic mean of the precision and recall of the test.,"Understand why the harmonic mean of the precision and recall is used instead of the arithmetic mean. Should a web search engine, such as Google, favor high precision or high recall for its top 10 search results? What weights should they then use for the F measure?",precision and recall
factor analysis,Machine Learning,https://metacademy.org/graphs/concepts/factor_analysis,"Factor analysis is a statistical method used to describe variability among observed, correlated variables in terms of a potentially lower number of unobserved variables called factors. In other words, it is possible, for example, that variations in three or four observed variables mainly reflect the variations in fewer unobserved variables. Factor analysis searches for such joint variations in response to unobserved latent variables. The observed variables are modelled as linear combinations of the potential factors, plus ""error"" terms. [from Wikipedia]",Understand the probabilistic interpretation of factor analysis and how the model is closely related to a number of other common probabilistic models used in machine learning.. How can latent variables capture higher-order correlations? How does this apply to factor analysis?,"multivariate distributions,conditional distributions,computations on multivariate Gaussians,Expectation-Maximization algorithm,maximum likelihood: multivariate Gaussians"
factor graphs,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/factor_graphs,"Markov random fields often can't reflect the full conditional independence structure of a probabilistic model. For instance, they can't encode whether the variables in a clique have a fully general interaction, or merely pairwise interactions. Factor graphs are a more fine-grained representation of Boltzmann distributions where the factors are shown explicitly in the graph.",,Markov random fields
feed-forward neural nets,Machine Learning,https://metacademy.org/graphs/concepts/feed_forward_neural_nets,"Feed-forward neural networks are a supervised learning architecture consisting of a set of neuron-like ""units,"" each one of which computes a simple function of its inputs. Because layers of such neurons can be stacked, neural nets are capable of learning complex nonlinear functions of the inputs.","Know the basic structure of a neural net unit (linear function followed by nonlinear activation function).. Understand how units can be combined into layers and networks.. Know basic neural net terminology (unit, connection, layer, network, input layer, output layer, weight, width depth).. Be familiar with important activation functions, such as linear, ReLU, and logistic.. Be able to set weights by hand to compute simple functions like XOR.. Understand why deep linear networks are no more powerful than linear models.. Understand how nonlinear hidden layers allow neural nets to compute functions that linear models can't.. Be able to write the network computations in matrix form.. Know what it means for multilayer perceptrons to be universal function approximators, and what are the limitations of this.. Understand how neural nets can be seen as adaptive basis function models.","binary linear classifiers,basis function expansions,matrix multiplication"
finite automata,Theory of Computation,https://metacademy.org/graphs/concepts/finite_automata,"Finite automata are a formal model of computation with finite memory. The machine can be in any of a finite number of states, and it has rules for transitioning between states depending on its input. Finite automata can only perform fairly limited computations, such as matching regular expressions.",formally define finite automata. be able to interpret state diagrams. be able to design finite automata to solve simple tasks,
finite-difference approximations to derivatives,Optimization,https://metacademy.org/graphs/concepts/finite_difference_approximations_to_derivatives,We can estimate the derivative of a function at a point by evaluating the function at nearby points. This gives a useful method for checking gradient computations.,Know how first derivatives can be approximated with finite differences. Why is the two-sided approximation more accurate than the one-sided one?. What are the pitfalls of choosing too large or too small a step size?. Know how finite differences can be used to check gradient calculations,"gradient,partial derivatives"
first-order logic,"Logic,Symbolic AI",https://metacademy.org/graphs/concepts/first_order_logic,"First-order logic refers to a class of formal languages which include the propositional connectives, quantifiers, functions, and predicates. It underlies many automated reasoning systems and can be used to define various formalizations of mathematics, such as Peano arithmetic, and Zermelo-Frankl set theory.",know the meanings of existential and universal quantifiers. be able to manipulate expressions containing quantifiers. be able to express simple statements of arithmetic and set theory in FOL. be able to determine if a variable occurs free in an expression. understand the semantics of FOL at an informal level,propositional logic
first-order resolution,Logic,https://metacademy.org/graphs/concepts/first_order_resolution,Resolution is an inference rule for first-order logic which is a key part of many automated theorem provers.,"Be able to eliminate existential quantifiers using Skolemization.. Be able to reduce a set of first-order sentences to conjunctive normal form.. State the resolution rule and be able to apply it to simple examples.. Know how resolution can be used to give constructive proofs, where one desires a set of substitutions to variables which make the consequent true.","first-order logic,propositional resolution,first-order unification"
first-order unification,"Logic,Symbolic AI",https://metacademy.org/graphs/concepts/first_order_unification,"Unification is a procedure which takes two symbolic expressions containing variables, and returns a substitution to the variables which makes the expressions identical. It is a key component of first-order theorem provers and type inference systems.","Know what the unification procedure is and what the output is.. Be able to simulate it on simple examples.. What is the occurs check, why is it needed, and why does it increase the complexity of the algorithm?. Why do variables sometimes need to be renamed before performing unification?. What does it mean for one unifier to be more general than another, and why does one desire the most general unifier?",first-order logic
Fisher information,Frequentist Statistics,https://metacademy.org/graphs/concepts/fisher_information,"Fisher information is a quantity from statistics which measures the amount of information a sample from a distribution provides about the parameter value. It has several equivalent definitions, one of which is the variance of the derivative of the log-likelihood. Since it determines the asymptotic behavior of maximum likelihood estimation, it can be used to compute approximate confidence intervals for parameters.",Define Fisher information in terms of the expected second derivative of the log-likelihood. Define Fisher information in terms of the variance of the derivative of the log-likelihood. Show that these definitions are equivalent. Be able to compute Fisher information for simple distributions. Be aware of how Fisher information relates to maximum likelihood estimation,"maximum likelihood,expectation and variance,Taylor approximations"
Fisher information matrix,Frequentist Statistics,https://metacademy.org/graphs/concepts/fisher_information_matrix,"The Fisher information matrix is a generalization of Fisher information to distributions with multiple parameters. Roughly speaking, it determines the amount that observing a sample from the distribution constrains the parameters in any given direction.",Define the Fisher information matrix in terms of the expected outer product of Fisher scores. Define the Fisher information matrix in terms of the covariance of Fisher scores. Define the Fisher information matrix as the expected second derivative of the log-likelihood. Show that these definitions are equivalent. Be able to compute the Fisher information matrix for simple distributions (e.g. Gaussian). Be aware that the Fisher information matrix determines the asymptotic behavior of maximum likelihood estimators,"covariance matrices,Fisher information,positive definite matrices"
Fisher metric,Differential Geometry,https://metacademy.org/graphs/concepts/fisher_metric,The Fisher metric is a Riemannian metric on statistical manifolds. The coordinate representation is the Fisher information matrix. One motivation is that it gives the second-order approximation to some widely used divergences such as KL divergence.,Define the Fisher metric of a statistical manifold. Understand why the Fisher metric is independent of the parameterization. Be able to derive the Fisher metric for a parametric family of distributions. Show that the Fisher metric is additive for the joint distribution over independent random variables. Show that the Fisher metric is the second-order Taylor approximation to the KL divergence between two distributions (which motivates its use as a metric),"Fisher information matrix,covariance matrices,Riemannian metrics,statistical manifolds"
Fisher's linear discriminant,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/fishers_linear_discriminant,Fisher's linear discriminant is a technique for visualizing high-dimensional data belonging to multiple classes by projecting it onto a low-dimensional subspace. The subspace is chosen to maximize the ratio of between-class to within-class variance.,Derive the subspace which maximizes the ratio of between-class and within-class variance.. Why might this projection give better classification results than GDA in the original space?,"projection onto a subspace,Gaussian discriminant analysis,eigenvalues and eigenvectors,optimization problems,covariance matrices"
fitting logistic regression with iterative reweighted least squares,Machine Learning,https://metacademy.org/graphs/concepts/logistic_regression_irls,"One way of fitting logistic regression is using Newton's method. This winds up having an intuitive form, where each update takes the form of a linear regression problem and the data points are all assigned weights depending how far they are from the decision boundary.",,"logistic regression,linear regression: closed-form solution"
floating point representation,Programming,https://metacademy.org/graphs/concepts/floating_point_representation,"Floating points are the main representation most computers use for performing approximate computations on real-valued quantities. They are represented in terms of a sign bit, a mantissa, and an exponent.",Know the basic parts of the floating point representation. How many significant digits can be represented with single- and double-precision floats?. What are the largest and smallest positive values that can be represented as single- and double-precision floats?. Know about the special values inf and NaN. Be aware that 0 and -0 have different representations. Be aware of the pitfalls of testing if two floats are equal,machine representations of integers and characters
flows on manifolds,Differential Geometry,https://metacademy.org/graphs/concepts/flows_on_manifolds,"Given a vector field X on a manifold, an integral curve for X through p is a curve passing through p whose tangent vector matches X at every point. The set of all integral curves can be analyzed in terms of a flow, where each point is transported along the corresponding integral curve. Flows are used to define the Lie derivative.","Know the definition of an integral curve. Show that finding an integral curve (locally) reduces to solving an ordinary differential equation on a coordinate chart. Be aware that the existence of an integral curve is guaranteed locally. Give an example where the integral curve is not defined for all values of the curve parameter t. Know the definition of the flow. Be aware that, under mild conditions, the flow is a group of diffeomorphisms","tangent bundle,groups,differentiable maps between manifolds,linear approximation"
forward-backward algorithm,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/forward_backward_algorithm,"The forward-backward algorithm is an algorithm for computing posterior marginals in a hidden Markov model (HMM). It is based on dynamic programming, and has linear complexity in the length of the sequence. It is used as a component of several other algorithms, such as the Baum_Welch algorithm and block Gibbs sampling in factorial HMMs.",Know what is meant by filtering and smoothing. Know the steps of the forward-backward algorithm. Show that the algorithm gives the correct marginals. Be able to implement the algorithm. Be familiar with the trellis representation of the algorithm. Analyze the computational complexity of the algorithm,"multivariate distributions,hidden Markov models,conditional independence"
four fundamental subspaces,Linear Algebra,https://metacademy.org/graphs/concepts/four_fundamental_subspaces,"The four fundamental subspaces of a matrix A are the column space, nullspace, row space, and left nullspace. The bases of all four spaces can be obtained using Gaussian elimination, and certain of them are orthogonal to one another. There are close relationships between the dimensions of all four spaces, and the dimensions of the row and column spaces both equal the rank of A.","Know the definitions of the four fundamental subspaces: column space, nullspace, row space, and left nullspace. Be able to compute bases for all four subspaces. Know how the four subspaces are related to each other. Know the definition of matrix rank","matrix transpose,Gaussian elimination,subspaces,bases,column space and nullspace"
function pointers in C,Programming,https://metacademy.org/graphs/concepts/function_pointers_in_c,"In C, a function pointer is a pointer to the segment of code implementing a function. It is important for implementing generic data structures in C.","Understand conceptually what a function pointer points to, and what happens when the function pointed to is called. Know the (hideous) syntax for declaring and using function pointers. Understand how function pointers can be used to implement generic functions in C (e.g. a sorting routine with a generic comparator function)","C pointers,call stack"
functions and relations as sets,Set Theory,https://metacademy.org/graphs/concepts/functions_and_relations_as_sets,"Ordered pairs, relations, and functions can all be defined in terms of sets. This is part of why set theory is such a powerful framework in the foundations of mathematics.","Define ordered pairs, functions, and relations in terms of sets. Show that the definitions correspond with our intuitions for how these objects should behave",set operations
functions of several variables,Multivariate Calculus,https://metacademy.org/graphs/concepts/functions_of_several_variables,"Multivariable calculus deals with functions of multiple variables. For two dimensions, we can visualize these with graphs or with level sets.",Know the distinction between dependent and independent variables. Be familiar with the visualization of a function as a graph. Be familiar with the visualization of a function as level sets,
gamma distribution,"Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/gamma_distribution,"The gamma distribution is a continuous distribution which gives the waiting time for n events to occur, when each event is equally likely to happen at any point in time. It is also commonly used in Bayesian statistics as a prior for scale variables.","Know the PDF of the gamma distribution. Show that the distribution is closed under sums. Derive the normalizing constant, expectation, and variance of a gamma distribution. Be aware of the motivation in terms of the waiting time for n events to occur","random variables,gamma function,expectation and variance"
gamma function,Uncategorized,https://metacademy.org/graphs/concepts/gamma_function,"The gamma function is a generalization of factorials to real and complex numbers, e.g. 5.25! isn't well defined, but Gamma(5.25) is well defined. The Gamma function is formally defined as an improper integral that converges. It appears in a number of common distributions, e.g. the beta, gamma, and Dirichlet distribution.",Know the definition of the gamma function. Know how it is related to the factorial function,
Gaussian BP on trees,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/gaussian_bp_on_trees,"Marginalization in Gaussian MRFs can be performed in cubic time by inverting a matrix, but this is too slow for some applications. If the model is tree-structured, belief propagation can compute the means and single-node variances in linear time. Unlike in general MRFs, it turns out that the loopy version yields the correct means.",,"Gaussian MRFs,computations on multivariate Gaussians,sum-product on trees,max-product on trees"
Gaussian discriminant analysis,Machine Learning,https://metacademy.org/graphs/concepts/gaussian_discriminant_analysis,Gaussian discriminant analysis (GDA) is a generative model for classification where the distribution of each class is modeled as a multivariate Gaussian.,"Derive the form of the decision boundary in the two-class case when the within-class covariance matrices are shared. In particular, show that it is always a hyperplane.. What do the decision regions look like when there are more than two classes?. Show that the decision boundary is quadratic when the covariance matrices are not shared between classes.. Optional: show that the decision boundary in the two-class case is equivalent to performing classification with linear least squares .","binary linear classifiers,mixture of Gaussians models,maximum likelihood,covariance matrices,dot product"
Gaussian distribution,Probability Theory,https://metacademy.org/graphs/concepts/gaussian_distribution,"The Gaussian (or normal) distribution has a bell shape, and is one of the most common in all of statistics. The Central Limit Theorem shows that sums of large numbers of independent, identically distributed random variables are well approximated by a Gaussian distribution. The parameter estimates in a statistical model are also asymptotically Gaussian. Gaussians are widely used in probabilistic modeling for these reasons, together with the fact that Gaussian distributions can be efficiently manipulated using the techniques of linear algebra.",Know the PDF of the Gaussian distribution and be aware that it is bell-shaped. Show that linear functions of Gaussian random variables are also Gaussian. Show that the parameters mu and sigma represent the mean and standard deviation. Derive the normalizing constant. Be aware that Gaussian distributions result from the sum of a large number of i.i.d. random variables. Show that the sum of independent Gaussian random variables is Gaussian,"random variables,expectation and variance"
Gaussian elimination,Linear Algebra,https://metacademy.org/graphs/concepts/gaussian_elimination,"Gaussian elimination is an algorithm for solving systems of linear equations, computing matrix inverses, and computing the LU factorization of a matrix.","Know the row operations which are allowed in Gaussian elimination. Know the Gaussian elimination algorithm, and be able to simulate it on simple examples. Know what happens in the algorithm when there is one solution, no solutions, or many solutions",linear systems as matrices
Gaussian MRFs,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/gaussian_mrfs,Gaussian Markov random fields (MRFs) are MRFs where the variables are all jointly Gaussian. The graph structure is reflected in the sparsity pattern of the precision matrix.,,"information form for multivariate Gaussians,Markov random fields"
Gaussian process classification,Machine Learning,https://metacademy.org/graphs/concepts/gaussian_process_classification,"Gaussian process classification is a Bayesian model for nonparametric classification. The data points have associated latent variables which are drawn from a GP prior, and the labels are modeled as stochastic functions of the latent variables.",,"Gaussian process regression,Bayesian logistic regression"
Gaussian process regression,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/gaussian_process_regression,"Gaussian process regression is a Bayesian model for nonparametric regression. (That is, nonparametric in the sense that the complexity of the regression function grows with the amount of data.) The model places a prior directly on the output values without reference to an underlying parametric model.",,"Gaussian processes,Bayesian linear regression"
Gaussian processes,"Bayesian Statistics,Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/gaussian_processes,"Gaussian processes are distributions over functions such that the joint distribution at any finte set of points is a multivariate Gaussian. They are commonly used in probabilistic modeling when we want to put a prior over functions without reference to an underlying parametric representation. Usually they express fairly weak beliefs about the function, such as smoothness, but more structured versions are also possible. The most common use case is nonparametric regression and classification.",,"kernel trick,multivariate Gaussian distribution"
Gaussian variable elimination,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/gaussian_variable_elimination,"Marginalization in Gaussian MRFs can be performed in cubic time by inverting a matrix, but this is too slow for some applications. If the model has the right structure, variable elimination can result in a big speedup.",,"Gaussian MRFs,variable elimination,computations on multivariate Gaussians"
Gaussian variable elimination as Gaussian elimination,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/gaussian_variable_elimination_as_gaussian_elimination,The computations involved in Gaussian variable elimination are the same as those used to compute the Cholesky decomposition of the covariance matrix.,,"Gaussian variable elimination,Gaussian elimination,Cholesky decomposition"
Gauss-Newton algorithm,Optimization,https://metacademy.org/graphs/concepts/gauss_newton_algorithm,"The Gauss-Newton algorithm is a method for solving nonlinear least squares problems, based on iteratively solving linearized versions of the problem. It can also be seen as an approximation to Newton's method where terms corresponding to the curvature of the mapping are dropped.","Know what the Gauss-Newton algorithm is. What approximation is it making, when viewed as an approximation to Newton's method?. Know why the Gauss-Newton matrix, unlike the Hessian matrix, is guaranteed to be positive semidefinite","linear least squares,linear approximation,Newtons method (optimization),positive definite matrices"
generalization,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/generalization,"When we fit a statistical model, we are interested in generalizing, i.e. making good predictions on data we haven't seen yet. We can fail at this in two ways: by underfitting (missing important structure in the data), or by overfitting (where the model is too sensitive to idiosyncrasies in the data). We can measure the generalization error of a model by training it on a ``training set'' and then evaluating it on a separate ``test set.'' Understanding the tradeoffs of model fit vs. complexity and how to measure generalization is key to getting any machine learning algorithm to work in practice.",,linear regression
generalized linear models,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/generalized_linear_models,"Generalized linear models are a class of linear models which unify several widely used models, including linear regression and logistic regression. The distribution over each output is assumed to be an exponential family distribution whose natural parameters are a linear function of the inputs.","Understand the basic assumptions behind a generalized linear model.\nIn particular, the natural parameters are assumed to be a linear function of the inputs. What role does this play in the maximum likelihood update rule?. Show that some other model (e.g. linear regression or logistic regression) is a special case of generalized linear models.. Derive the gradient ascent update rule for GLMs.","exponential families,maximum likelihood,optimization problems,linear regression as maximum likelihood,gradient descent"
generic collections in Java,Programming,https://metacademy.org/graphs/concepts/generic_collections_in_java,"In programming, code that defines or uses container classes should be generic in several senses. Typically, the container should be able to hold objects of differing types. Also, code which uses containers shouldn't rely on a particular implementation, but should call methods which are common to different implementations. Both aspects are tricky in a statically typed language like Java, but Java provides some features, such as parameterized classes, to help deal with this. (Note: you should use Java 5 or later, since earlier versions did not support generics.)","Know the syntax and semantics of parameterized classes in Java. Understand a key motivation for using generic containers: you can then switch to a different underlying implementation if it turns out to be more efficient. Be familiar with Java's collections hierarchy, including Collection, Map, and List, and know what sorts of methods are defined at what level of the hierarchy. Be aware of some useful functions in the Collections class, such as sorting. Know how to define a Comparator class to pass to a generic sorting routine. Be able to define a parameterized class in Java. Understand a common gotcha in Java generics: why can't you pass a List to a function which requires a List? How can you get around this?","iterators,interfaces and abstract classes in Java,inheritance (programming),abstract data types,classes (programming)"
Gibbs sampling,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/gibbs_sampling,Gibbs sampling is a Markov Chain Monte Carlo (MCMC) algorithm where each random variable is iteratively resampled from its conditional distribution given the remaining variables. It's a simple and often highly effective approach for performing posterior inference in probabilistic models.,Know the Gibbs sampling update rules. Understand why Gibbs sampling's stationary distribution is the model distribution. Understand why Gibbs sampling can be inefficient when variables are tightly coupled,"conditional distributions,Markov chain Monte Carlo,Markov random fields"
Gibbs sampling as a special case of Metropolis-Hastings,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/gibbs_as_mh,Gibbs sampling can be seen as a special case of the Metropolis-Hastings algorithm where the transition operators are chosen such that the acceptance probability is 1.,Show that Gibbs sampling can be viewed as a special case of the M-H algorithm,"Metropolis-Hastings algorithm,Gibbs sampling"
Godel numbering,Logic,https://metacademy.org/graphs/concepts/godel_numbering,"One can define a system (""Godel numbering"") for encoding expressions and derivations (in some logical system) as numbers. All the syntactic operations needed to verify derivations are recursive and can be represented in arithmetic. This shows that any logical theory which includes arithmetic is powerful enough to talk about itself. This idea is used to construct self-referential sentences in Godel's Incompleteness Theorem and related results.","Define a system for assigning numbers (""Godel numbers"") to expressions and derivations in a first-order language. Be aware that all the syntactic manipulations needed to verify a proof are representable in arithmetic. Work through the details of the above","first-order logic,proofs in first-order logic,representability in arithmetic"
Godel's Incompleteness Theorems,Logic,https://metacademy.org/graphs/concepts/godels_incompleteness_theorems,"Godel's Incompleteness Theorems are fundamental results showing the limitations of formal mathematics. The First Incompleteness Theorem shows that in any consistent logical system which includes arithmetic, some statements cannot be proved or disproved. Equivalently, the set of true statements about the natural numbers is undecidable. The Second Incompleteness Theorem states that no formal system which includes arithmetic can prove its own consistency, or that of a more powerful theory.",State Godel's First Incompleteness Theorem (in terms of some statements not being provable one way or the other). State the theorem in terms of the theory of natural numbers being undecidable. State Godel's Second Incompleteness Theorem. Be aware of Hilbert's program and why the second Incompleteness Theorem showed it to be impossible. Prove the theorems,"semantics of first-order logic,proofs in first-order logic,Godel numbering,decidability,Church-Turing thesis"
GP classification with the Laplace approximation,Machine Learning,https://metacademy.org/graphs/concepts/gp_classification_laplace,"Unlike with GP regression, there is no closed-form solution to GP classification. The most basic method for approximating it is to use the Laplace approximation, thereby formulating it as an optimization problem.",,"Gaussian process classification,Laplace approximation,fitting logistic regression with iterative reweighted least squares,learning GP hyperparameters"
gradient,"Multivariate Calculus,Optimization",https://metacademy.org/graphs/concepts/gradient,The gradient of a function gives the direction of maximum increase. Its entries are given by the partial derivatives of the function. It is widely used in optimization.,Know the definition of the gradient. Be able to compute the gradient by taking partial derivatives. Be able to use the gradient to compute directional derivatives. Show that the gradient gives the direction of maximum increase. Understand why the gradient is perpendicular to the level surfaces,"dot product,functions of several variables,partial derivatives,linear approximation"
gradient descent,Optimization,https://metacademy.org/graphs/concepts/gradient_descent,"Gradient descent, also known as steepest descent, is an iterative optimization algorithm for finding a local minimum of differentiable functions. At each iteration, gradient descent operates by moving the current solution in the direction of the negative gradient of the function (the direction of ""steepest descent"").",Be able to apply gradient descent to functions of several variables. Why is gradient descent not guaranteed to find the global optimum?,"gradient,functions of several variables"
graph representations,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/graph_representations,"Graphs, both directed and undirected, are one of the fundamental data structures in algorithms. Depending if the graph is sparse or dense, we may prefer to represent it as adjacency lists or an adjacency matrix. Or, we may directly carry our an algorithm on an implicit graph representation without ever constructing a representation of the full graph.","Know what it means for a graph to be sparse or dense. Know what is meant by adjacency matrices and adjacency lists, and when you would want to use one vs. the other. Give an example where it is preferable to operate on an implicit representation of a graph than to represent the graph explicitly",linked lists
Green's Theorem,Multivariate Calculus,https://metacademy.org/graphs/concepts/greens_theorem,Green's Theorem is a theorem relating the integrals of the curl and the divergence of a vector field over a closed region to a line integral along its boundary.,Know the definitions of curl and divergence. Prove two versions of Green's Theorem:\nrelating line integrals to curl\nrelating flux to divergence. Be able to apply Green's Theorem to compute:\nthe area of a closed region\nline integrals\nflux across a curve. Use Green's Theorem to show that conservative vector fields have zero curl,"vector fields,line integrals,multiple integrals,conservative vector fields"
Hamiltonian flows,Differential Geometry,https://metacademy.org/graphs/concepts/hamiltonian_flows,"Suppose one defines a function (called the Hamiltonian) on a symplectic manifold. This defines a Hamiltonian vector field, which is somewhat analogous to the gradient. The flow for this vector field corresponds to simulating Hamiltonian dynamics.","Define the Hamiltonian vector field of a function. Show that the Hamiltonian flow preserves the Hamiltonian. Show that the Hamiltonian flow is a symplectomorphism, i.e. it preserves the symplectic structure. Define the Poisson bracket and be able to manipulate it algebraically. Be able to check if a quantity is conserved using the Poisson bracket. Be aware of the physical interpretation of Hamiltonian flows","cotangent bundle,symplectic manifolds,flows on manifolds,Lie derivatives"
Hamiltonian Monte Carlo,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/hamiltonian_monte_carlo,"Hamiltonian Monte Carlo (HMC) is an MCMC algorithm which makes use of gradient information in order to avoid random walks and move more quickly toward regions of high probability. It is based on a discretization of Hamiltonian dynamics, with a Metropolis-Hastings accept/reject step to ensure that it has the right stationary distribution.",Know the definition of the HMC algorithm. Be aware of an example in which it avoids the random walk behavior of generic M-H. Know that it preserves phase space volume and why that's important. Know what the leapfrog discretization refers to and why it is preferable to the naive discretization. Understand why the acceptance probability increases as the step size decreases and why it approaches 1 for arbitrarily small steps,"Metropolis-Hastings algorithm,gradient descent"
